FACILITY NAME,Full Address,Street #,Street Name,Suite,City,Province,Postal Code,Ward,Performance,Exhibition / Visual Arts,Screen Based,Library,Multipurpose,Heritage,OWNERSHIP,,,
Flux + Form Design Studio,"116.5 Sherbourne Street, Toronto, ON, M5A 2R2",116 1/2,Sherbourne Street,,Toronto,ON,M5A 2R2,28,,1,,,,,Owned by others,,,
Harris Institute for the Arts,"118 Sherbourne Street, Toronto, ON, M5A 4S8",118,Sherbourne Street,,Toronto,ON,M5A 4S8,28,1,,1,,1,,Owned by others,,,
St. Luke's United Church Auditorium,"353 Sherbourne Street, Toronto, ON, M5A 2S3",353,Sherbourne Street,,Toronto,ON,M5A 2S3,28,1,,,,1,1,Owned by others,,,
Wellesley Community Centre,"495 Sherbourne Street, Toronto, ON, M4X 1K7",495,Sherbourne Street,,Toronto,ON,M4X 1K7,28,1,,,,1,,City Owned,,,
St. James Town Branch (TPL),"495 Sherbourne Street, Toronto, ON, M4X 1K9",495,Sherbourne Street,,Toronto,ON,M4X 1K9,28,,,,1,,,City Owned,,,
Art City,"545 Sherbourne Street, Toronto, ON, M4X 1W5",545,Sherbourne Street,,Toronto,ON,M4X 1W5,28,,1,,,1,,Owned by others,,,
Trinity Evangelical Lutheran Church,"619 Sherbourne Street, Toronto, ON, M4X 1L7",619,Sherbourne Street,,Toronto,ON,M4X 1L7,28,1,,,,1,,Owned by others,,,
52 Studios (Loft 315),"52 St. Lawrence Street, Toronto, ON, M5A 3N1",52,St. Lawrence Street,,Toronto,ON,M5A 3N1,28,,1,,,,,Owned by others,,,
Dixon Hall,"58 Sumach Street, Toronto, ON, M5A 3J7",58,Sumach Street,,Toronto,ON,M5A 3J7,28,1,,,,1,,Owned by others,,,
Corkin Gallery,"7 Tank House Lane, Toronto, ON, M5A 3C4",7,Tank House Lane,,Toronto,ON,M5A 3C4,28,,1,,,,,Owned by others,,,
Boilerhouse Restaurant,"18 Tank House Lane, Toronto, ON, M5A 3C4",18,Tank House Lane,,Toronto,ON,M5A 3C4,28,1,,,,,,Owned by others,,,
"Young Centre for the Performing Arts (Marilyn and Charles Baillie Theatre, Soulpepper)","50 Tank House Lane, Toronto, ON, M5A 3C4",50,Tank House Lane,,Toronto,ON,M5A 3C4,28,1,,,,,,Owned by others,,,
The Performing Arts Lodge,"110 The Esplanade, Toronto, ON, M5E 1X9",110,The Esplanade,,Toronto,ON,M5E 1X9,28,1,,,,1,,Owned by others,,,
St. Lawrence Community Recreation Centre,"230 The Esplanade, Toronto, ON, M5A 4J6",230,The Esplanade,,Toronto,ON,M5A 4J6,28,,1,1,,1,,City Owned,,,
"Artists' Health Centre Foundation, Dancer Transition Resource Centre","250 The Esplanade, Suite 500, Toronto, ON, M5A 1J2",250,The Esplanade,Suite 500,Toronto,ON,M5A 1J2,28,,1,,,,1,Owned by others,,,
Monte Clarke Gallery,"4 Trinity Street, Toronto, ON, M5A 3C4",4,Trinity Street,,Toronto,ON,M5A 3C4,28,,1,,,,,Owned by others,,,
Enoch Turner Schoolhouse,"106 Trinity Street, Toronto, ON, M5A 3C6",106,Trinity Street,,Toronto,ON,M5A 3C6,28,,1,,,1,1,Owned by others,,,
Metropolitan Restaurant,"20 Victoria Street, Toronto, ON, M5C 2N8",20,Victoria Street,,Toronto,ON,M5C 2N8,28,1,1,,,,1,Owned by others,,,
Community Matters,"260 Wellesley Street East, Unit 102, Toronto, ON, M4X 1G6",260,Wellesley Street East,Unit 102,Toronto,ON,M4X 1G6,28,,,,,1,,Owned by others,,,
The Reservoir Lounge,"52 Wellington Street East, Toronto, ON, M5E 1C9",52,Wellington Street East,,Toronto,ON,M5E 1C9,28,1,,,,,,Owned by others,,,
The Stone Grill,"51 Winchester Street, Toronto, ON, M4X 1A8",51,Winchester Street,,Toronto,ON,M4X 1A8,28,1,1,1,,,1,Owned by others,,,
Samovar Room Vodka Bar,"51 Winchester Street, A, Toronto, ON, M4X 1R7",51,Winchester Street,A,Toronto,ON,M4X 1R7,28,1,,,,,1,Owned by others,,,
Winchester Street Theatre (Toronto Dance Theatre),"80 Winchester Street, Toronto, ON, M4X 1B1",80,Winchester Street,,Toronto,ON,M4X 1B1,28,1,,,,,1,Owned by others,,,
The Residence at Riverdale Farm,"201 Winchester Street, Toronto, ON, M4X 1B8",201,Winchester Street,,Toronto,ON,M4X 1B8,28,1,,,,,1,City Owned,,,
Toronto Star,"1 Yonge Street, Toronto, ON, M5E 1W7",1,Yonge Street,,Toronto,ON,M5E 1W7,28,,,1,,,,Owned by others,,,
Hockey Hall of Fame,"30 Yonge Street , Toronto, ON, M5E 1X8",30,Yonge Street ,,Toronto,ON,M5E 1X8,28,,1,,,,,Owned by others,,,
The SHAMBA Foundation,"48 Yonge Street, Suite 1200, Toronto, ON, M5E 1G6",48,Yonge Street,Suite 1200,Toronto,ON,M5E 1G6,28,1,,1,,,,Owned by others,,,
Evergreen Brick Works (Holcim Gallery),"550 Bayview Avenue, Toronto, ON, M4W 3X8",550,Bayview Avenue,,Toronto,ON,M4W 3X8,29,,1,,,1,1,City Owned,,,
Estonian House,"958 Broadview Avenue, Toronto, ON, M4K 2R6",958,Broadview Avenue,,Toronto,ON,M4K 2R6,29,1,1,1,,1,,Owned by others,,,
Whistler's / The McNeil Room (upstairs),"995 Broadview Avenue, Toronto, ON, M4K 2S1",995,Broadview Avenue,,Toronto,ON,M4K 2S1,29,1,,,,1,,Owned by others,,,
"The Centre for Creative Communications, Centennial College","951 Carlaw Avenue, Toronto, ON, M4K 3M2",951,Carlaw Avenue,,Toronto,ON,M4K 3M2,29,,1,,,,,Owned by others,,,
Mambo Lounge,"120 Danforth Avenue, Toronto, ON, M4K 1N1",120,Danforth Avenue,,Toronto,ON,M4K 1N1,29,1,,,,,,Owned by others,,,
The Black Swan Tavern,"154 Danforth Avenue, 2nd Floor, Toronto, ON, M4K 1N1",154,Danforth Avenue,2nd Floor,Toronto,ON,M4K 1N1,29,1,,,,,,Owned by others,,,
Eastminster United Church,"310 Danforth Avenue, Toronto, ON, M4K 1N6",310,Danforth Avenue,,Toronto,ON,M4K 1N6,29,1,,,,1,,Owned by others,,,
Timothy's Cafe,"320 Danforth Avenue, Toronto, ON, M4K 1N8",320,Danforth Avenue,,Toronto,ON,M4K 1N8,29,1,,,,,,Owned by others,,,
Inspired Life Health Centre (Carrot Common),"320 Danforth Avenue, Unit 5, Toronto, ON, M4K 1N8",320,Danforth Avenue,Unit 5,Toronto,ON,M4K 1N8,29,,,,,1,,Owned by others,,,
Megas Restaurant,"402 Danforth Avenue, Toronto, ON, M4K 1P3",402,Danforth Avenue,,Toronto,ON,M4K 1P3,29,1,,,,,,Owned by others,,,
Pan Macedonian Association of Toronto,"406 Danforth Avenue, Toronto, ON, M4K 1P3",406,Danforth Avenue,,Toronto,ON,M4K 1P3,29,1,1,,,1,,Owned by others,,,
The Downstage,"798 Danforth Avenue, Toronto, ON, M4J 1L6",798,Danforth Avenue,,Toronto,ON,M4J 1L6,29,1,1,,,1,,Owned by others,,,
Dukem Ethiopian Restaurant,"950 Danforth Avenue, Toronto, ON, M4J 1L9",950,Danforth Avenue,,Toronto,ON,M4J 1L9,29,1,1,,,,,Owned by others,,,
The One,"966 Danforth Avenue, Toronto, ON, M4J 1L9",966,Danforth Avenue,,Toronto,ON,M4J 1L9,29,1,1,,,,,Owned by others,,,
The Only,"972 Danforth Avenue, Toronto, ON , M4J 1L9",972,Danforth Avenue,,Toronto,ON ,M4J 1L9,29,1,1,,,,,Owned by others,,,
The School of Performing Arts for the Community of East York (S.P.A.C.E.),"1324 Danforth Avenue, Toronto, ON, M4J 1M9",1324,Danforth Avenue,,Toronto,ON,M4J 1M9,29,1,,,,1,,Owned by others,,,
Holy Name Parish Church,"71 Gough Avenue, Toronto, ON, M4K 3N9",71,Gough Avenue,,Toronto,ON,M4K 3N9,29,1,,,,1,,Owned by others,,,
LucSculpture School and Studio,"663 Greenwood Avenue, Toronto, ON, M4J 4B3",663,Greenwood Avenue,,Toronto,ON,M4J 4B3,29,,1,,,,,Owned by others,,,
S. Walter Stewart Branch (TPL),"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",170,Memorial Park Avenue,,Toronto,ON,M4J 2K5,29,1,,,1,,,City Owned,,,
Calvary Church,"746 Pape Avenue, Toronto, ON, M4K 3S7",746,Pape Avenue,,Toronto,ON,M4K 3S7,29,1,,,,,,Owned by others,,,
Bethany Baptist Church,"1041 Pape Avenue, Toronto, ON, M4K 3W1",1041,Pape Avenue,,Toronto,ON,M4K 3W1,29,1,,,,,,Owned by others,,,
East York Community Recreation Centre,"1081 Pape Avenue, Toronto, ON, M4K 3W4",1081,Pape Avenue,,Toronto,ON,M4K 3W4,29,,,,,1,,City owned,,,
Todmorden Room Branch (TPL),"1081.5 Pape Avenue, Toronto, ON, M4K 3W6",1081 1/2,Pape Avenue,,Toronto,ON,M4K 3W6,29,,,,1,,,City owned,,,
Papermill Theatre/Museum/Art Centre at Todmorden Mills,"67 Pottery Road, Toronto, ON, M4K 2B9",67,Pottery Road,,Toronto,ON,M4K 2B9,29,1,1,,,,1,City Owned,,,
The Workshop Gallery,"705 Pape Avenue, Toronto, ON, M4K 3S6",705,Pape Avenue,,Toronto,ON,M4K 3S6,30,,1,,,,,Owned by others,,,
Cinespace,"30 Booth Avenue, Suite 100, Toronto, ON, M4M 2M2",30,Booth Avenue,Suite 100,Toronto,ON,M4M 2M2,30,,,1,,,,Owned by others,,,
Danforth Church,"60 Bowden Street, Toronto, ON, M4K 1M7",60,Bowden Street,,Toronto,ON,M4K 1M7,30,1,,,,,,Owned by others,,,
Riverdale Branch (TPL),"370 Broadview Avenue, Toronto, ON, M4K 2M8",370,Broadview Avenue,,Toronto,ON,M4K 2M8,30,,,,1,,1,City operated,,,
St. John's Presbyterian Church,"415 Broadview Avenue, Toronto, ON, M4K 2M9",415,Broadview Avenue,,Toronto,ON,M4K 2M9,30,1,,,,1,,Owned by others,,,
Everyone Is An Artist,"302 Carlaw Avenue, Unit 104, Toronto, ON, M4M 3L1",302,Carlaw Avenue,Unit 104,Toronto,ON,M4M 3L1,30,1,1,,,,,Owned by others,,,
Holy Name Catholic School,"690 Carlaw Avenue, Toronto, ON, M4K 3K9",690,Carlaw Avenue,,Toronto,ON,M4K 3K9,30,,,,,1,,Owned by others,,,
Pinewood Studios,"225 Commissioners Street, Toronto, ON, M4M 1A9",225,Commissioners Street,,Toronto,ON,M4M 1A9,30,,,1,,,,Owned by others,,,
St Joseph Parish Hall,"65 Curzon Street, Toronto, ON, M4M 3B3",65,Curzon Street,,Toronto,ON,M4M 3B3,30,1,,,,1,,Owned by others,,,
Joy of Dance Studio,"95 Danforth Avenue, 3rd Floor, Toronto, ON, M4K 1N2",95,Danforth Avenue,3rd Floor,Toronto,ON,M4K 1N2,30,1,,,,,,Owned by others,,,
Yoga Sanctuary,"95 Danforth Avenue, Suite 301, Toronto, ON, M4K 1N2",95,Danforth Avenue,Suite 301,Toronto,ON,M4K 1N2,30,1,,,,,,Owned by others,,,
Fraser Studios,"115 Danforth Avenue, Suite 203, Toronto, ON, M4K 1N2",115,Danforth Avenue,Suite 203,Toronto,ON,M4K 1N2,30,1,,1,,,,Owned by others,,,
Celtic Dance Centre,"131 Danforth Avenue, Toronto, ON, M4K 1N2",131,Danforth Avenue,,Toronto,ON,M4K 1N2,30,1,,,,1,,Owned by others,,,
Dora Keogh Traditional Irish Pub,"141 Danforth Avenue, Toronto, ON, M4K 1N2",141,Danforth Avenue,,Toronto,ON,M4K 1N2,30,1,,,,,,Owned by others,,,
Danforth Music Hall Theatre,"147 Danforth Avenue, Toronto, ON, M4K 1N2",147,Danforth Avenue,,Toronto,ON,M4K 1N2,30,1,,,,,,Owned by others,,,
Hannan's Bellydance Studio,"211 Danforth Avenue, Toronto, ON, M4K 1N2",211,Danforth Avenue,,Toronto,ON,M4K 1N2,30,1,,,,,,Owned by others,,,
St. Barnabas Anglican Church,"361 Danforth Avenue, Toronto, ON, M4K 1P1",361,Danforth Avenue,,Toronto,ON,M4K 1P1,30,1,,,,1,,Owned by others,,,
IX Gallery and Event Place,"11 Davies Avenue, Suite 102, Toronto, ON, M4M 2A9",11,Davies Avenue,Suite 102,Toronto,ON,M4M 2A9,30,,1,,,,,Owned by others,,,
Labspace Studio,"130 DeGrassi Street, Toronto, ON, M4M 2K6",130,DeGrassi Street,,Toronto,ON,M4M 2K6,30,1,1,,,,,Owned by others,,,
StudioElevenTwelve,"1112 Dundas Street East, Toronto, ON, M5A 3A7",1112,Dundas Street East,,Toronto,ON,M5A 3A7,30,1,,,,,,Owned by others,,,
Spazio dell'Arte Gallery,"400 Eastern Avenue, Suite 201, Toronto, ON, M4M 1B9",400,Eastern Avenue,Suite 201,Toronto,ON,M4M 1B9,30,,1,,,,,Owned by others,,,
Creative Works Studio,"793 Gerrard Street East, Toronto, ON, M4M 1Y5",793,Gerrard Street East,,Toronto,ON,M4M 1Y5,30,,1,,,,,Owned by others,,,
Matty Eckler Community Centre,"953 Gerrard Street East, Toronto, ON, M4M 1Z4",953,Gerrard Street East,,Toronto,ON,M4M 1Z4,30,,,,,1,,City Owned,,,
Riverdale Collegiate Institute,"1094 Gerrard Street East, Toronto, ON, M4M 2A1",1094,Gerrard Street East,,Toronto,ON,M4M 2A1,30,1,,,,1,,Owned by others,,,
Centre of Gravity,"1300 Gerrard Street East, Toronto, ON, M4L 1Y7",1300,Gerrard Street East,,Toronto,ON,M4L 1Y7,30,1,1,1,,1,,Owned by others,,,
The Riverdale Hub,"1326 Gerrard Street East, Toronto, ON, M4L 1Z1",1326,Gerrard Street East,,Toronto,ON,M4L 1Z1,30,1,1,,,1,,Owned by others,,,
Gerrard/Ashdale Branch (TPL),"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",1432,Gerrard Street East,,Toronto,ON,M4L 1Z6,30,,,,1,,,City operated,,,
Jones Library,"118 Jones Avenue, Toronto, ON, M4M 2Z9",118,Jones Avenue,,Toronto,ON,M4M 2Z9,30,,,,1,,,City Owned,,,
Withrow Park,"725 Logan Avenue, Toronto, ON, M4K 3B9",725,Logan Avenue,,Toronto,ON,M4K 3B9,30,1,,,,1,,City Owned,,,
Frankland Community Centre,"816 Logan Avenue, Toronto, ON, M4K 3E1",816,Logan Avenue,,Toronto,ON,M4K 3E1,30,,,,,1,,City Owned,,,
Merchants of Green Coffee,"2 Matilda Street, Toronto, ON, M4M 1L9",2,Matilda Street,,Toronto,ON,M4M 1L9,30,1,1,1,,1,,Owned by others,,,
Pape & Danforth Branch (TPL),"701 Pape Avenue, Toronto, ON, M4K 3S6",701,Pape Avenue,,Toronto,ON,M4K 3S6,30,,1,,1,,,City operated,,,
"Polson Pier (Sound Academy, Solarium Banquet Facility)","11 Polson Street, Toronto, ON, M5A 1A4",11,Polson Street,,Toronto,ON,M5A 1A4,30,1,1,,,1,,Owned by others,,,
VSVSVS Gallery,"25 Polson Street, Toronto, ON, M5A 1A4",25,Polson Street,,Toronto,ON,M5A 1A4,30,,1,,,,,Owned by others,,,
Opera House,"735 Queen Street East, Toronto, ON, M4M 1H2",735,Queen Street East,,Toronto,ON,M4M 1H2,30,1,,,,,,Owned by others,,,
Hangman Art Gallery (Artists' Network Initiative) ,"756 Queen Street East, Toronto, ON, M4M 1H4",756,Queen Street East,,Toronto,ON,M4M 1H4,30,,1,,,,,Owned by others,,,
"Queen/Saulter Branch (TPL), Ralph Thornton Centre","765 Queen Street East, Toronto, ON, M4M 1H3",765,Queen Street East,,Toronto,ON,M4M 1H3,30,1,1,,1,1,1,City Owned,,,
Jimmie Simpson Recreation Centre,"870 Queen Street East, Toronto, ON, M4M 1H9",870,Queen Street East,,Toronto,ON,M4M 1H9,30,,,,,1,,City Owned,,,
St. Matthew's Cathedral,"875 Queen Street East, Toronto, ON, M4M 1J2",875,Queen Street East,,Toronto,ON,M4M 1J2,30,1,,,,,,Owned by others,,,
Red Sandcastle Theatre,"922 Queen Street East, Toronto, ON, M4M 1J5",922,Queen Street East,,Toronto,ON,M4M 1J5,30,1,,,,,,Owned by others,,,
ROTC - Toronto,"970 Queen Street East, Toronto, ON, M4M 1J8",970,Queen Street East,,Toronto,ON,M4M 1J8,30,1,,,,,,Owned by others,,,
Atomic Toybot,"978 Queen Street East, Toronto, ON, M4M 1K1",978,Queen Street East,,Toronto,ON,M4M 1K1,30,,1,,,,,Owned by others,,,
Arts Market,"1114 Queen Street East, Toronto, ON, M4M 1K7",1114,Queen Street East,,Toronto,ON,M4M 1K7,30,1,1,,,,,Owned by others,,,
Parts Gallery,"1150 Queen Street East, Toronto, ON, M4M 1K8",1150,Queen Street East,,Toronto,ON,M4M 1K8,30,,1,,,,,Owned by others,,,
Tango Palace Coffee Company,"1156 Queen Street East, Toronto, ON, M4M 1L2",1156,Queen Street East,,Toronto,ON,M4M 1L2,30,,1,,,,,Owned by others,,,
Pentimento Fine Art Gallery,"1164 Queen Street East, Toronto, ON, M4M 1L4",1164,Queen Street East,,Toronto,ON,M4M 1L4,30,,1,,,,,Owned by others,,,
Brayham Contemporary Art,"1318 Queen Street East, Toronto, ON, M4L 1C5",1318,Queen Street East,,Toronto,ON,M4L 1C5,30,,1,,,,,Owned by others,,,
Metropolitan Community Church of Toronto,"115 Simpson Avenue, Toronto, ON, M4K 1A1",115,Simpson Avenue,,Toronto,ON,M4K 1A1,30,1,,,,1,,Owned by others,,,
Dark Horse Espresso Bar,"682 Queen Street East, Toronto, ON, M4M 1G9",682,Queen Street East,,Toronto,ON,M4M 1G9,30,,,,,1,,Owned by others,,,
Rouge Concept Gallery,"732 Queen Street East, Toronto, ON, M4M 1H2",732,Queen Street East,,Toronto,ON,M4M 1H2,30,,1,,,,,Owned by others,,,
Broadview Faith Temple,"296 Broadview Avenue, Toronto, ON, M4M 2G7",296,Broadview Avenue,,Toronto,ON,M4M 2G7,30,1,,,,1,,Owned by others,,,
St. Matthew's Lawn Bowling Clubhouse,"450 Broadview Avenue, Toronto, ON, M4M 1X7",450,Broadview Avenue,,Toronto,ON,M4M 1X7,30,,,,,,1,City Owned,,,
Eastview Community Centre,"86 Blake Street, Toronto, ON, M4J 3C9",86,Blake Street,,Toronto,ON,M4J 3C9,30,,,,,1,,City Owned,,,
GAS (Gerrard Art Space),"1390 Gerrard Street East, Toronto, ON, M4L 1Z4",1390,Gerrard Street East,,Toronto,ON,M4L 1Z4,30,,1,,,,,Owned by others,,,
Crow's Theatre,"87 Ravina Crescent, Toronto, ON, M4J 3L9",87,Ravina Crescent,,Toronto,ON,M4J 3L9,30,1,,,,,,Owned by others,,,
Jimmie Simpson Park,"870 Queen Street East, Toronto, ON, M1P 4N7",870,Queen Street East,,Toronto,ON,M1P 4N7,30,,1,,,,,City Owned,,,
Riverdale Park East,"550 Broadview Avenue, Toronto, ON, M4K 2P1",550,Broadview Avenue,,Toronto,ON,M4K 2P1,30,,,1,,,,City Owned,,,
Leslie Grove Park,"1158 Queen Street East, Toronto, ON, M1P 4N7",1158,Queen Street East,,Toronto,ON,M1P 4N7,30,1,,,,1,,City Owned,,,
Monarch Park Collegiate,"1 Hanson Street, Toronto, ON, M4J 1G6",1,Hanson Street,,Toronto,ON,M4J 1G6,30,1,,,,,,Owned by others,,,
Zhong Hua Men Archway,"573 Gerrard Street East, Toronto, ON, M4M 1Y3",573,Gerrard Street East,,Toronto,ON,M4M 1Y3,30,,,,,1,,Owned by others,,,
Energy Efficiency Office,"138 Hamilton Street, Toronto, ON, M4M 2E1",138,Hamilton Street,,Toronto,ON,M4M 2E1,30,,,,,1,,City Owned,,,
St. Anne Parish,"120 First Avenue, Toronto, ON, M4M 1X1",120,First Avenue,,Toronto,ON,M4M 1X1,30,1,,,,1,,Owned by others,,,
Projection Booth Cinema,"1035 Gerrard Street East, Toronto, ON, M4M 1Z6",1035,Gerrard Street East,,Toronto,ON,M4M 1Z6,30,,,1,,,,Owned by others,,,
Stan Wadlow Clubhouse,"373 Cedarvale Avenue, Toronto, ON, M4C 4K7",373,Cedarvale Avenue,,Toronto,ON,M4C 4K7,31,,,,,1,,City Owned,,,
East Toronto Masonic Temple,"15 Chisholm Avenue, Toronto, ON, M4C 4V1",15,Chisholm Avenue,,Toronto,ON,M4C 4V1,31,1,,,,1,,Owned by others,,,
East York Collegiate,"650 Cosburn Avenue, Toronto, ON, M4C 2V2",650,Cosburn Avenue,,Toronto,ON,M4C 2V2,31,1,,,,1,,Owned by others,,,
Jeff Goodman Studio,"51 Cranfield Road, Toronto, ON, M4B 3H6",51,Cranfield Road,,Toronto,ON,M4B 3H6,31,,1,,,,,Owned by others,,,
Hope United Church,"2550 Danforth Avenue, Toronto, ON, M4C 1L2",2550,Danforth Avenue,,Toronto,ON,M4C 1L2,31,1,,,,1,,Owned by others,,,
"Children's Peace Theatre, Goulding Estate","305 Dawes Road, Toronto, ON, M4B 2E2",305,Dawes Road,,Toronto,ON,M4B 2E2,31,1,,,,,1,City Owned,,,
Dawes Road Branch (Library),"416 Dawes Road, Toronto, ON, M4B 2E8",416,Dawes Road,,Toronto,ON,M4B 2E8,31,1,,,1,,,City Owned,,,
Kimbourne Park United Church ,"200 Wolverleigh Boulevard, Toronto, ON, M4C 1S2",200,Wolverleigh Boulevard,,Toronto,ON,M4C 1S2,31,1,,,,1,,Owned by others,,,
Earl Beatty Community Centre,"455 Glebeholme Boulevard, Toronto, ON, M4C 1V3",455,Glebeholme Boulevard,,Toronto,ON,M4C 1V3,31,,,,,1,,City Owned,,,
Terry Fox Recreation Centre,"2 Gledhill Avenue, Toronto, ON, M4C 5K6",2,Gledhill Avenue,,Toronto,ON,M4C 5K6,31,,,,,1,,City Owned,,,
Canadian Macedonian Heritage Society,"850 O'Connor Drive, Toronto, ON, M4B 3L6",850,O'Connor Drive,,Toronto,ON,M4B 3L6,31,,,,,1,,Owned by others,,,
St. Columba and All Hallows,"2723 St. Clair Avenue East, Toronto, ON, M4B 1M8",2723,St. Clair Avenue East,,Toronto,ON,M4B 1M8,31,,,,,1,,Owned by others,,,
Beaches Lions Club (Art Down By the Bay),"10 Ashbridges Bay Park Road, Toronto, ON, M4E 3S7",10,Ashbridges Bay Park Road,,Toronto,ON,M4E 3S7,32,,1,,,1,,Owned by others,,,
Bellefair United Church,"2 Bellefair Avenue, Toronto, ON, M4L 3T7",2,Bellefair Avenue,,Toronto,ON,M4L 3T7,32,1,,,,1,,Owned by others,,,
Danforth/Coxwell Branch (TPL),"1675 Danforth Avenue, Toronto, ON, M4C 5P2",1675,Danforth Avenue,,Toronto,ON,M4C 5P2,32,,,,1,1,,City Operated,,,
The Pocket Studios,"920 Eastern Avenue, Toronto, ON, M4L 1A4",920,Eastern Avenue,,Toronto,ON,M4L 1A4,32,,1,,,,,Owned by others,,,
Fairmount Park Community Centre,"1757 Gerrard Street East, Toronto, ON, M4L 3J2",1757,Gerrard Street East,,Toronto,ON,M4L 3J2,32,1,1,,,1,,City Operated,,,
The Naval Club,"1910 Gerrard Street East, Toronto, ON, M4L 2C1",1910,Gerrard Street East,,Toronto,ON,M4L 2C1,32,,,,,1,,Owned by others,,,
Beaches Presbyterian Church,"65 Glen Manor Drive, Toronto, ON, M4E 3V3",65,Glen Manor Drive,,Toronto,ON,M4E 3V3,32,1,,,,1,,Owned by others,,,
Beach Hebrew Institute,"109 Kenilworth Avenue, Toronto, ON, M4L 3S4",109,Kenilworth Avenue,,Toronto,ON,M4L 3S4,32,,,,,1,1,Owned by others,,,
Cobalt Gallery,"870 Kingston Road, A, Toronto, ON, M4E 1S3",870,Kingston Road,A,Toronto,ON,M4E 1S3,32,,1,,,,,Owned by others,,,
Zilberschmuck,"910 Kingston Road, Toronto, ON, M4E 1S5",910,Kingston Road,,Toronto,ON,M4E 1S5,32,,1,,,,,Owned by others,,,
Kingston Road United Church,"975 Kingston Road, Toronto, ON, M4E 1T1",975,Kingston Road,,Toronto,ON,M4E 1T1,32,,,,,1,,Owned by others,,,
Kew Beach Junior Public School,"101 Kippendavie Avenue, Toronto, ON, M4L 3R3",101,Kippendavie Avenue,,Toronto,ON,M4L 3R3,32,,,,,1,,Owned by others,,,
Maple Leaf Cottage,"62 Laing Street, Toronto, ON, M4L 2N4",62,Laing Street,,Toronto,ON,M4L 2N4,32,,,,,,1,City Owned,,,
Woodbine Park (Bandshell),"1590 Lake Shore Boulevard East, Toronto, ON, M4L 6S8",1590,Lake Shore Boulevard East,,Toronto,ON,M4L 6S8,32,1,,,,1,,City Owned,,,
"Boardwalk Pub, Woodbine Beach","1681 Lake Shore Boulevard East, Toronto, ON, M4L 3W6",1681,Lake Shore Boulevard East,,Toronto,ON,M4L 3W6,32,1,,,,,,Owned by others,,,
Adam Beck Community Centre,"79 Lawlor Avenue, Toronto, ON, M4E 3L8",79,Lawlor Avenue,,Toronto,ON,M4E 3L8,32,,,,,1,,City Operated,,,
Community Centre 55,"97 Main Street, Toronto, ON, M4E 2V6",97,Main Street,,Toronto,ON,M4E 2V6,32,,,,,1,1,City Owned,,,
Grinder Café,"126 Main Street, Toronto, ON, M4E 2V8",126,Main Street,,Toronto,ON,M4E 2V8,32,,1,,,,,Owned by others,,,
Main Street Branch (TPL),"137 Main Street, Toronto, ON, M4E 2V9",137,Main Street,,Toronto,ON,M4E 2V9,32,1,,,1,1,,City Operated,,,
Main Square Community Centre,"245 Main Street, Toronto, ON, M4C 5T3",245,Main Street,,Toronto,ON,M4C 5T3,32,,,,,1,,City Owned,,,
Malvern High School (Auditorium),"55 Malvern Avenue, Toronto, ON, M4E 3E4",55,Malvern Avenue,,Toronto,ON,M4E 3E4,32,1,,,,,,Owned by others,,,
Poetic Art Studio,"1851 Danforth Avenue, Toronto, ON, M4C 1H8",1851,Danforth Avenue,,Toronto,ON,M4C 1H8,32,,1,,,,,Owned by others,,,
Balmy Beach Community Centre,"14 Pine Avenue, Toronto, ON, M4E 3G5",14,Pine Avenue,,Toronto,ON,M4E 3G5,32,,,,,1,,City Operated,,,
Ceilieh Cottage,"1301 Queen Street East, Toronto, ON, M4L 1C2",1301,Queen Street East,,Toronto,ON,M4L 1C2,32,1,,,,,,Owned by others,,,
"Alliance Cinemas, The Beach","1651 Queen Street East, Toronto, ON, M4L 1G5",1651,Queen Street East,,Toronto,ON,M4L 1G5,32,,,1,,,,Owned by others,,,
"Kew Gardens, The Beaches","2075 Queen Street East, Toronto, ON, M4L 1J1",2075,Queen Street East,,Toronto,ON,M4L 1J1,32,,,,,1,1,City Owned,,,
Castro's Lounge,"2116 Queen Street East, Toronto, ON, M4E 1G1",2116,Queen Street East,,Toronto,ON,M4E 1G1,32,1,,,,,,Owned by others,,,
Beaches Branch (TPL),"2161 Queen Street East, Toronto, ON, M4L 1J1",2161,Queen Street East,,Toronto,ON,M4L 1J1,32,,,,1,1,1,City Operated,,,
Alyona Dance Studio,"2215 Queen Street East, Toronto, ON, M4E 1E8",2215,Queen Street East,,Toronto,ON,M4E 1E8,32,1,,,,,,Owned by others,,,
Honey's Beestro,"2232 Queen Street East, Toronto, ON, M4E 1E9",2232,Queen Street East,,Toronto,ON,M4E 1E9,32,1,,,,,,Owned by others,,,
Remarkable Bean,"2242 Queen Street East, Toronto, ON, M4E 1G2",2242,Queen Street East,,Toronto,ON,M4E 1G2,32,,1,,,,,Owned by others,,,
Fox Theatre,"2263 Queen Street East, Toronto, ON, M4E 1G2",2263,Queen Street East,,Toronto,ON,M4E 1G2,32,,,1,,,1,Owned by others,,,
St. Aidan's Church,"70 Silver Birch Avenue, Toronto, ON, M4E 3K9",70,Silver Birch Avenue,,Toronto,ON,M4E 3K9,32,1,,,,1,1,Owned by others,,,
